APP name,Cores,Warps,Threads,instrs,cycles,ipc,core_usage_rate,thread occupancy,alu_ratio,fpu_ratio,lsu_ratio,sfu_ratio,issue_stalls,stall_alu_ratio,stall_fpu_ratio,stall_lsu_ratio,stall_sfu_ratio,alu_instrs,fpu_instrs,sfu_instrs,lsu_instrs,loads,stores,split_instrs,avg_cycles,L2,Mapping,FLOP/BYTE
bfs,2,2,2,526506509,1374552994,0.38,100%,93%,61%,0%,13%,26%,2237272479,80%,0%,19%,0%,321835831,0,138630538,66041842,38691998,11360962,53364796,1373051987,0,CM,0.0000
bfs,2,2,4,550208786,824154874,0.67,100%,88%,60%,0%,14%,26%,1318669575,78%,0%,21%,0%,329708345,0,141124465,79377678,36149721,14152815,53724792,823228254,0,CM,0.0000
bfs,2,2,8,481387719,515656659,0.93,100%,84%,72%,0%,12%,16%,815274876,70%,0%,29%,0%,345503877,0,76971575,58913969,54547947,21466442,28277031,515193086,0,CM,0.0000
bfs,2,2,16,465854042,355716089,1.31,100%,82%,81%,0%,10%,9%,624104789,48%,0%,51%,0%,377131399,0,42830382,45893963,78322683,35117465,14985077,355335464,0,CM,0.0000
bfs,2,2,32,503194649,351955803,1.43,100%,80%,88%,0%,8%,5%,839716720,19%,0%,80%,0%,440483507,0,24841449,37871395,119361560,61925943,8086927,351529007,0,CM,0.0000
bfs,2,4,2,550445904,778874038,0.71,100%,93%,60%,0%,14%,26%,2270629300,79%,0%,20%,0%,329866209,0,141203627,79377770,45266148,14691658,53725068,778465190,0,CM,0.0000
bfs,2,4,4,597819891,483522951,1.24,100%,89%,58%,0%,18%,24%,1432254934,71%,0%,28%,0%,345590767,0,146181371,106049455,45866948,20814119,54445060,482976224,0,CM,0.0000
bfs,2,4,8,544849894,324018400,1.68,100%,85%,69%,0%,16%,15%,1023577056,53%,0%,46%,0%,377232638,0,82033199,85585759,73982401,34788958,28997299,323527693,0,CM,0.0000
bfs,2,4,16,560993529,314997176,1.78,100%,84%,79%,0%,13%,9%,1336120169,22%,0%,77%,0%,440536289,0,47893216,72565726,117191555,61762388,15705345,314727032,0,CM,0.0000
bfs,2,4,32,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,CM,#DIV/0!
bfs,2,8,2,598144778,426628360,1.40,100%,94%,58%,0%,18%,24%,1397260094,69%,0%,30%,0%,345807021,0,146289833,106049626,58414448,21353050,54445612,426050499,0,CM,0.0000
bfs,2,8,4,692954938,318702065,2.17,100%,89%,54%,0%,23%,23%,1209840418,47%,0%,52%,0%,377297502,0,156266155,159392983,65301384,34136719,55885596,318279754,0,CM,0.0000
bfs,2,8,8,671612559,296923355,2.26,100%,87%,66%,0%,21%,14%,1387215121,21%,0%,78%,0%,440582373,0,92102640,138929248,112851246,61433962,30437835,296611028,0,CM,0.0000
