C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth,temp_diff
2,2,2,2,16,0,TM,8,0.9997441146366428,0.9989775051124744,0.998721881390593,40.0,38.0
2,2,4,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0,38.0
2,2,8,8,16,0,TM,32,0.9997441146366428,0.9939024390243902,0.9936481139376389,40.0,38.0
2,2,16,16,16,0,TM,64,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0,38.0
2,2,32,32,16,0,TM,128,0.9997441146366428,0.9919354838709677,0.9916816620992506,40.0,38.0
4,2,2,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0,38.0
4,2,4,8,16,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0,38.0
4,2,8,16,16,0,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0,38.0
4,2,16,32,16,0,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0,38.0
4,2,32,64,16,0,TM,256,0.9997441146366428,0.9609375,0.9606916101586489,40.0,38.0
8,2,2,8,32,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0,38.0
8,2,4,16,32,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
8,2,8,32,32,0,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0,38.0
8,2,16,64,32,0,TM,256,0.9997441146366428,0.95703125,0.9567863597108496,40.0,38.0
16,2,2,16,64,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
16,2,4,32,64,0,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
16,2,8,64,64,0,TM,256,0.9997441146366428,0.955078125,0.9548337344869499,40.0,38.0
2,2,2,2,16,1,TM,8,0.9997441146366428,0.9989775051124744,0.998721881390593,40.0,38.0
2,2,4,4,16,1,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0,38.0
2,2,8,8,16,1,TM,32,0.9997441146366428,0.9939024390243902,0.9936481139376389,40.0,38.0
2,2,16,16,16,1,TM,64,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0,38.0
2,2,32,32,16,1,TM,128,0.9997441146366428,0.9919354838709677,0.9916816620992506,40.0,38.0
4,2,2,4,16,1,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0,38.0
4,2,4,8,16,1,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0,38.0
4,2,8,16,16,1,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0,38.0
4,2,16,32,16,1,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0,38.0
4,2,32,64,16,1,TM,256,0.9997441146366428,0.9609375,0.9606916101586489,40.0,38.0
8,2,2,8,32,1,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0,38.0
8,2,4,16,32,1,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
8,2,8,32,32,1,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0,38.0
8,2,16,64,32,1,TM,256,0.9997441146366428,0.95703125,0.9567863597108496,40.0,38.0
16,2,2,16,64,1,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
16,2,4,32,64,1,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
16,2,8,64,64,1,TM,256,0.9997441146366428,0.955078125,0.9548337344869499,40.0,38.0
2,2,2,2,16,2,TM,8,0.9997441146366428,0.9989775051124744,0.998721881390593,40.0,38.0
2,2,4,4,16,2,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0,38.0
2,2,8,8,16,2,TM,32,0.9997441146366428,0.9939024390243902,0.9936481139376389,40.0,38.0
2,2,16,16,16,2,TM,64,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0,38.0
2,2,32,32,16,2,TM,128,0.9997441146366428,0.9919354838709677,0.9916816620992506,40.0,38.0
4,2,2,4,16,2,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0,38.0
4,2,4,8,16,2,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0,38.0
4,2,8,16,16,2,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0,38.0
4,2,16,32,16,2,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0,38.0
4,2,32,64,16,2,TM,256,0.9997441146366428,0.9609375,0.9606916101586489,40.0,38.0
8,2,2,8,32,2,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0,38.0
8,2,4,16,32,2,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
8,2,8,32,32,2,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0,38.0
8,2,16,64,32,2,TM,256,0.9997441146366428,0.95703125,0.9567863597108496,40.0,38.0
16,2,2,16,64,2,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
16,2,4,32,64,2,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0,38.0
16,2,8,64,64,2,TM,256,0.9997441146366428,0.955078125,0.9548337344869499,40.0,38.0
2,2,2,2,16,0,CM,8,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,4,4,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,8,8,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,16,16,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
