C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,2,2,16,0,TM,8,0.9997441146366428,0.9989775051124744,0.998721881390593,40.0
2,4,2,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,80.0
2,8,2,8,16,0,TM,16,0.998721881390593,0.9928861788617886,0.9916171525595624,80.0
2,16,2,16,16,0,TM,16,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,32,2,32,16,0,TM,16,0.9926321138211383,0.9848790322580645,0.9776225556484396,80.0
4,2,2,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
4,4,2,8,16,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
4,8,2,16,16,0,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,16,2,32,16,0,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
4,32,2,64,16,0,TM,32,0.9926321138211383,0.9541015625,0.9470718507844259,80.0
8,2,2,8,32,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
8,4,2,16,32,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
8,8,2,32,32,0,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
8,16,2,64,32,0,TM,64,0.9966836734693878,0.9541015625,0.9509374501753827,80.0
8,32,2,128,32,0,TM,64,0.9926321138211383,0.9541015625,0.9470718507844259,80.0
16,2,2,16,64,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
16,4,2,32,64,0,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
16,8,2,64,64,0,TM,128,0.998721881390593,0.9541015625,0.9528821075377045,80.0
16,16,2,128,64,0,TM,128,0.9966836734693878,0.9541015625,0.9509374501753827,80.0
16,32,2,256,64,0,TM,128,0.9926321138211383,0.9541015625,0.9470718507844259,80.0
2,2,2,2,16,1,TM,8,0.9997441146366428,0.9989775051124744,0.998721881390593,40.0
2,4,2,4,16,1,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,80.0
2,8,2,8,16,1,TM,16,0.998721881390593,0.9928861788617886,0.9916171525595624,80.0
2,16,2,16,16,1,TM,16,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,32,2,32,16,1,TM,16,0.9926321138211383,0.9848790322580645,0.9776225556484396,80.0
