C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
4,8,16,128,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
2,32,2,32,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,8,64,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,4,32,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,2,16,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,32,128,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,16,64,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,8,32,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,4,16,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,2,8,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,32,64,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,16,32,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,8,16,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,4,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,2,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,2,32,32,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,16,16,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,8,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,4,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0
2,16,16,128,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,32,4,64,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,32,8,256,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,32,8,128,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
4,32,2,64,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,16,16,256,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
4,16,8,128,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
4,16,4,64,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
4,16,2,32,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,8,8,64,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
4,8,4,32,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
4,8,2,16,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,4,16,64,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
4,4,8,32,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
4,4,4,16,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
4,4,2,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,2,32,64,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0
4,2,16,32,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0
4,2,8,16,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0
4,2,4,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0
4,2,2,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,2,2,16,1,CM,8,1.0,0.9997441146366428,0.9997441146366428,40.0
4,32,4,128,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
4,32,8,256,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,32,2,32,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,8,64,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,4,32,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
2,16,2,16,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,32,128,16,0,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,16,64,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,8,32,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,4,16,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
2,8,2,8,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,32,64,16,0,CM,256,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,16,32,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,8,16,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,4,8,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
2,4,2,4,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,80.0
2,2,32,32,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,16,16,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,8,8,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0
2,2,4,4,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0
2,16,16,128,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,80.0
2,32,4,64,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
4,32,2,64,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,80.0
