C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,8,32,128,16,2,TM,256,0.998721881390593,0.9609375,0.959709307898773,80.0
4,8,16,128,16,2,TM,256,0.998721881390593,0.95703125,0.955808050549591,80.0
8,8,8,128,32,2,TM,256,0.998721881390593,0.955078125,0.953857421875,80.0
16,8,4,128,64,2,TM,256,0.998721881390593,0.9541015625,0.9528821075377045,80.0
2,8,16,64,16,2,TM,128,0.998721881390593,0.95703125,0.955808050549591,80.0
4,8,8,64,16,2,TM,128,0.998721881390593,0.955078125,0.953857421875,80.0
8,8,4,64,32,2,TM,128,0.998721881390593,0.9541015625,0.9528821075377045,80.0
16,8,2,64,64,2,TM,128,0.998721881390593,0.9541015625,0.9528821075377045,80.0
2,8,8,32,16,2,TM,64,0.998721881390593,0.9858870967741935,0.9846270161290323,80.0
4,8,4,32,16,2,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
8,8,2,32,32,2,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
2,8,4,16,16,2,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,8,2,16,16,2,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
2,8,2,8,16,2,TM,16,0.998721881390593,0.9928861788617886,0.9916171525595624,80.0
