C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth,temp_diff
4,2,32,64,16,0,TM,256,0.9997441146366428,0.9609375,0.9606916101586489,40.0,38.0
8,2,16,64,32,0,TM,256,0.9997441146366428,0.95703125,0.9567863597108496,40.0,38.0
16,2,8,64,64,0,TM,256,0.9997441146366428,0.955078125,0.9548337344869499,40.0,38.0
4,2,32,64,16,1,TM,256,0.9997441146366428,0.9609375,0.9606916101586489,40.0,38.0
8,2,16,64,32,1,TM,256,0.9997441146366428,0.95703125,0.9567863597108496,40.0,38.0
16,2,8,64,64,1,TM,256,0.9997441146366428,0.955078125,0.9548337344869499,40.0,38.0
4,2,32,64,16,2,TM,256,0.9997441146366428,0.9609375,0.9606916101586489,40.0,38.0
8,2,16,64,32,2,TM,256,0.9997441146366428,0.95703125,0.9567863597108496,40.0,38.0
16,2,8,64,64,2,TM,256,0.9997441146366428,0.955078125,0.9548337344869499,40.0,38.0
4,2,32,64,16,0,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
8,2,16,64,32,0,CM,256,1.0,0.998721881390593,0.998721881390593,40.0,38.0
16,2,8,64,64,0,CM,256,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
4,2,32,64,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
8,2,16,64,32,1,CM,256,1.0,0.998721881390593,0.998721881390593,40.0,38.0
16,2,8,64,64,1,CM,256,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
4,2,32,64,16,2,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
8,2,16,64,32,2,CM,256,1.0,0.998721881390593,0.998721881390593,40.0,38.0
16,2,8,64,64,2,CM,256,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
