C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth,temp_diff
4,2,32,64,16,0,TM,256,1.0,0.9166666666666666,0.9166666666666666,39.854749999999996,37.854749999999996
8,2,16,64,32,0,TM,256,1.0,0.8958333333333334,0.8958333333333334,39.854749999999996,37.854749999999996
16,2,8,64,64,0,TM,256,1.0,0.8854166666666666,0.8854166666666666,39.854749999999996,37.854749999999996
4,2,32,64,16,1,TM,256,1.0,0.9166666666666666,0.9166666666666666,39.854749999999996,37.854749999999996
8,2,16,64,32,1,TM,256,1.0,0.8958333333333334,0.8958333333333334,39.854749999999996,37.854749999999996
16,2,8,64,64,1,TM,256,1.0,0.8854166666666666,0.8854166666666666,39.854749999999996,37.854749999999996
4,2,32,64,16,2,TM,256,1.0,0.9166666666666666,0.9166666666666666,39.854749999999996,37.854749999999996
8,2,16,64,32,2,TM,256,1.0,0.8958333333333334,0.8958333333333334,39.854749999999996,37.854749999999996
16,2,8,64,64,2,TM,256,1.0,0.8854166666666666,0.8854166666666666,39.854749999999996,37.854749999999996
4,2,32,64,16,0,CM,256,1.0,1.0,1.0,39.854749999999996,37.854749999999996
8,2,16,64,32,0,CM,256,1.0,0.9941176470588236,0.9941176470588236,39.854749999999996,37.854749999999996
16,2,8,64,64,0,CM,256,1.0,0.9825581395348837,0.9825581395348837,39.854749999999996,37.854749999999996
4,2,32,64,16,1,CM,256,1.0,1.0,1.0,39.854749999999996,37.854749999999996
8,2,16,64,32,1,CM,256,1.0,0.9941176470588236,0.9941176470588236,39.854749999999996,37.854749999999996
16,2,8,64,64,1,CM,256,1.0,0.9825581395348837,0.9825581395348837,39.854749999999996,37.854749999999996
4,2,32,64,16,2,CM,256,1.0,1.0,1.0,39.854749999999996,37.854749999999996
8,2,16,64,32,2,CM,256,1.0,0.9941176470588236,0.9941176470588236,39.854749999999996,37.854749999999996
16,2,8,64,64,2,CM,256,1.0,0.9825581395348837,0.9825581395348837,39.854749999999996,37.854749999999996
