C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,2,2,16,0,TM,8,1.0,1.0,1.0,39.32625
2,2,4,4,16,0,TM,16,1.0,1.0,1.0,39.32625
2,2,8,8,16,0,TM,32,1.0,1.0,1.0,39.32625
2,2,16,16,16,0,TM,64,1.0,1.0,1.0,39.32625
2,2,32,32,16,0,TM,128,1.0,1.0,1.0,39.32625
2,4,2,4,16,0,TM,16,1.0,1.0,1.0,78.6525
2,4,4,8,16,0,TM,32,1.0,1.0,1.0,78.6525
2,4,8,16,16,0,TM,64,1.0,1.0,1.0,78.6525
2,4,16,32,16,0,TM,128,1.0,1.0,1.0,78.6525
2,8,2,8,16,0,TM,16,1.0,1.0,1.0,78.6525
2,8,4,16,16,0,TM,32,1.0,1.0,1.0,78.6525
2,8,8,32,16,0,TM,64,1.0,1.0,1.0,78.6525
2,16,2,16,16,0,TM,16,1.0,1.0,1.0,78.6525
2,16,4,32,16,0,TM,32,1.0,1.0,1.0,78.6525
2,32,2,32,16,0,TM,16,1.0,1.0,1.0,78.6525
4,2,2,4,16,0,TM,16,1.0,1.0,1.0,39.32625
4,2,4,8,16,0,TM,32,1.0,1.0,1.0,39.32625
4,2,8,16,16,0,TM,64,1.0,1.0,1.0,39.32625
4,2,16,32,16,0,TM,128,1.0,1.0,1.0,39.32625
4,4,2,8,16,0,TM,32,1.0,1.0,1.0,78.6525
4,4,4,16,16,0,TM,64,1.0,1.0,1.0,78.6525
4,4,8,32,16,0,TM,128,1.0,1.0,1.0,78.6525
4,8,2,16,16,0,TM,32,1.0,1.0,1.0,78.6525
4,8,4,32,16,0,TM,64,1.0,1.0,1.0,78.6525
4,16,2,32,16,0,TM,32,1.0,1.0,1.0,78.6525
8,2,2,8,32,0,TM,32,1.0,1.0,1.0,39.32625
8,2,4,16,32,0,TM,64,1.0,1.0,1.0,39.32625
8,2,8,32,32,0,TM,128,1.0,1.0,1.0,39.32625
8,4,2,16,32,0,TM,64,1.0,1.0,1.0,78.6525
8,4,4,32,32,0,TM,128,1.0,1.0,1.0,78.6525
8,8,2,32,32,0,TM,64,1.0,1.0,1.0,78.6525
16,2,2,16,64,0,TM,64,1.0,1.0,1.0,39.32625
16,2,4,32,64,0,TM,128,1.0,1.0,1.0,39.32625
16,4,2,32,64,0,TM,128,1.0,1.0,1.0,78.6525
2,2,2,2,16,1,TM,8,1.0,1.0,1.0,39.32625
2,2,4,4,16,1,TM,16,1.0,1.0,1.0,39.32625
2,2,8,8,16,1,TM,32,1.0,1.0,1.0,39.32625
2,2,16,16,16,1,TM,64,1.0,1.0,1.0,39.32625
2,2,32,32,16,1,TM,128,1.0,1.0,1.0,39.32625
2,4,2,4,16,1,TM,16,1.0,1.0,1.0,78.6525
2,4,4,8,16,1,TM,32,1.0,1.0,1.0,78.6525
2,4,8,16,16,1,TM,64,1.0,1.0,1.0,78.6525
2,4,16,32,16,1,TM,128,1.0,1.0,1.0,78.6525
2,8,2,8,16,1,TM,16,1.0,1.0,1.0,78.6525
2,8,4,16,16,1,TM,32,1.0,1.0,1.0,78.6525
2,8,8,32,16,1,TM,64,1.0,1.0,1.0,78.6525
2,16,2,16,16,1,TM,16,1.0,1.0,1.0,78.6525
2,16,4,32,16,1,TM,32,1.0,1.0,1.0,78.6525
2,32,2,32,16,1,TM,16,1.0,1.0,1.0,78.6525
4,2,2,4,16,1,TM,16,1.0,1.0,1.0,39.32625
4,2,4,8,16,1,TM,32,1.0,1.0,1.0,39.32625
4,2,8,16,16,1,TM,64,1.0,1.0,1.0,39.32625
4,2,16,32,16,1,TM,128,1.0,1.0,1.0,39.32625
4,4,2,8,16,1,TM,32,1.0,1.0,1.0,78.6525
4,4,4,16,16,1,TM,64,1.0,1.0,1.0,78.6525
4,4,8,32,16,1,TM,128,1.0,1.0,1.0,78.6525
4,8,2,16,16,1,TM,32,1.0,1.0,1.0,78.6525
4,8,4,32,16,1,TM,64,1.0,1.0,1.0,78.6525
4,16,2,32,16,1,TM,32,1.0,1.0,1.0,78.6525
8,2,2,8,32,1,TM,32,1.0,1.0,1.0,39.32625
8,2,4,16,32,1,TM,64,1.0,1.0,1.0,39.32625
8,2,8,32,32,1,TM,128,1.0,1.0,1.0,39.32625
8,4,2,16,32,1,TM,64,1.0,1.0,1.0,78.6525
8,4,4,32,32,1,TM,128,1.0,1.0,1.0,78.6525
8,8,2,32,32,1,TM,64,1.0,1.0,1.0,78.6525
16,2,2,16,64,1,TM,64,1.0,1.0,1.0,39.32625
16,2,4,32,64,1,TM,128,1.0,1.0,1.0,39.32625
16,4,2,32,64,1,TM,128,1.0,1.0,1.0,78.6525
2,2,2,2,16,2,TM,8,1.0,1.0,1.0,39.32625
2,2,4,4,16,2,TM,16,1.0,1.0,1.0,39.32625
2,2,8,8,16,2,TM,32,1.0,1.0,1.0,39.32625
2,2,16,16,16,2,TM,64,1.0,1.0,1.0,39.32625
2,2,32,32,16,2,TM,128,1.0,1.0,1.0,39.32625
2,4,2,4,16,2,TM,16,1.0,1.0,1.0,78.6525
2,4,4,8,16,2,TM,32,1.0,1.0,1.0,78.6525
2,4,8,16,16,2,TM,64,1.0,1.0,1.0,78.6525
2,4,16,32,16,2,TM,128,1.0,1.0,1.0,78.6525
2,8,2,8,16,2,TM,16,1.0,1.0,1.0,78.6525
2,8,4,16,16,2,TM,32,1.0,1.0,1.0,78.6525
2,8,8,32,16,2,TM,64,1.0,1.0,1.0,78.6525
2,16,2,16,16,2,TM,16,1.0,1.0,1.0,78.6525
2,16,4,32,16,2,TM,32,1.0,1.0,1.0,78.6525
2,32,2,32,16,2,TM,16,1.0,1.0,1.0,78.6525
4,2,2,4,16,2,TM,16,1.0,1.0,1.0,39.32625
4,2,4,8,16,2,TM,32,1.0,1.0,1.0,39.32625
4,2,8,16,16,2,TM,64,1.0,1.0,1.0,39.32625
4,2,16,32,16,2,TM,128,1.0,1.0,1.0,39.32625
4,4,2,8,16,2,TM,32,1.0,1.0,1.0,78.6525
4,4,4,16,16,2,TM,64,1.0,1.0,1.0,78.6525
4,4,8,32,16,2,TM,128,1.0,1.0,1.0,78.6525
4,8,2,16,16,2,TM,32,1.0,1.0,1.0,78.6525
4,8,4,32,16,2,TM,64,1.0,1.0,1.0,78.6525
4,16,2,32,16,2,TM,32,1.0,1.0,1.0,78.6525
8,2,2,8,32,2,TM,32,1.0,1.0,1.0,39.32625
8,2,4,16,32,2,TM,64,1.0,1.0,1.0,39.32625
8,2,8,32,32,2,TM,128,1.0,1.0,1.0,39.32625
8,4,2,16,32,2,TM,64,1.0,1.0,1.0,78.6525
8,4,4,32,32,2,TM,128,1.0,1.0,1.0,78.6525
8,8,2,32,32,2,TM,64,1.0,1.0,1.0,78.6525
16,2,2,16,64,2,TM,64,1.0,1.0,1.0,39.32625
16,2,4,32,64,2,TM,128,1.0,1.0,1.0,39.32625
16,4,2,32,64,2,TM,128,1.0,1.0,1.0,78.6525
