C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,2,2,16,0,CM,8,1.0,0.9970238095238095,0.9970238095238095,39.125
2,2,4,4,16,0,CM,16,1.0,0.9970238095238095,0.9970238095238095,39.125
2,2,8,8,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,39.125
2,2,16,16,16,0,CM,64,1.0,0.9970238095238095,0.9970238095238095,39.125
2,2,32,32,16,0,CM,128,1.0,0.9970238095238095,0.9970238095238095,39.125
2,4,2,4,16,0,CM,16,1.0,0.9970238095238095,0.9970238095238095,78.25
2,4,4,8,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,78.25
2,4,8,16,16,0,CM,64,1.0,0.9970238095238095,0.9970238095238095,78.25
2,4,16,32,16,0,CM,128,1.0,0.9970238095238095,0.9970238095238095,78.25
2,8,2,8,16,0,CM,16,1.0,0.9970238095238095,0.9970238095238095,78.25
2,8,4,16,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,78.25
2,8,8,32,16,0,CM,64,1.0,0.9970238095238095,0.9970238095238095,78.25
2,16,2,16,16,0,CM,16,1.0,0.9970238095238095,0.9970238095238095,78.25
2,16,4,32,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,78.25
2,32,2,32,16,0,CM,16,1.0,0.9970238095238095,0.9970238095238095,78.25
4,2,2,4,16,0,CM,16,1.0,0.9970238095238095,0.9970238095238095,39.125
4,2,4,8,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,39.125
4,2,8,16,16,0,CM,64,1.0,0.9970238095238095,0.9970238095238095,39.125
4,2,16,32,16,0,CM,128,1.0,0.9970238095238095,0.9970238095238095,39.125
4,2,32,64,16,0,CM,256,1.0,0.9970238095238095,0.9970238095238095,39.125
4,4,2,8,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,78.25
4,4,4,16,16,0,CM,64,1.0,0.9970238095238095,0.9970238095238095,78.25
4,4,8,32,16,0,CM,128,1.0,0.9970238095238095,0.9970238095238095,78.25
4,4,16,64,16,0,CM,256,1.0,0.9970238095238095,0.9970238095238095,78.25
4,8,2,16,16,0,CM,32,1.0,0.9970238095238095,0.9970238095238095,78.25
