C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
16,2,8,64,64,2,CM,256,1.0,0.99951171875,0.99951171875,39.174
4,2,32,64,16,2,CM,256,1.0,0.99951171875,0.99951171875,39.174
8,2,16,64,32,2,CM,256,1.0,0.99951171875,0.99951171875,39.174
16,2,4,32,64,2,CM,128,1.0,0.99951171875,0.99951171875,39.174
8,2,8,32,32,2,CM,128,1.0,0.99951171875,0.99951171875,39.174
4,2,16,32,16,2,CM,128,1.0,0.99951171875,0.99951171875,39.174
2,2,32,32,16,2,CM,128,1.0,1.0,1.0,39.174
4,2,8,16,16,2,CM,64,1.0,0.99951171875,0.99951171875,39.174
8,2,4,16,32,2,CM,64,1.0,0.99951171875,0.99951171875,39.174
2,2,16,16,16,2,CM,64,1.0,1.0,1.0,39.174
16,2,2,16,64,2,CM,64,1.0,0.9990236759185791,0.9990236759185791,39.174
4,2,4,8,16,2,CM,32,1.0,0.99951171875,0.99951171875,39.174
8,2,2,8,32,2,CM,32,1.0,0.9990236759185791,0.9990236759185791,39.174
2,2,8,8,16,2,CM,32,1.0,1.0,1.0,39.174
2,2,4,4,16,2,CM,16,1.0,1.0,1.0,39.174
4,2,2,4,16,2,CM,16,1.0,0.9990236759185791,0.9990236759185791,39.174
2,2,2,2,16,2,CM,8,1.0,0.99951171875,0.99951171875,39.174
