C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,4,4,16,0,TM,16,1.0,0.75,0.75,39.707750000000004
2,2,8,8,16,0,TM,32,1.0,0.625,0.625,39.707750000000004
2,4,4,8,16,0,TM,32,1.0,0.5625,0.5625,79.41550000000001
2,4,8,16,16,0,TM,64,1.0,0.625,0.625,79.41550000000001
2,8,4,16,16,0,TM,32,0.9,0.5625,0.50625,79.41550000000001
2,8,8,32,16,0,TM,64,0.9,0.3125,0.28125,79.41550000000001
2,16,4,32,16,0,TM,32,0.75,0.28125,0.2109375,79.41550000000001
2,16,8,64,16,0,TM,64,0.75,0.15625,0.1171875,79.41550000000001
2,32,4,64,16,0,TM,32,0.5625,0.140625,0.0791015625,79.41550000000001
2,32,8,128,16,0,TM,64,0.5625,0.078125,0.0439453125,79.41550000000001
4,2,4,8,16,0,TM,32,1.0,0.5625,0.5625,39.707750000000004
4,2,8,16,16,0,TM,64,1.0,0.625,0.625,39.707750000000004
4,4,4,16,16,0,TM,64,1.0,0.5625,0.5625,79.41550000000001
4,4,8,32,16,0,TM,128,1.0,0.3125,0.3125,79.41550000000001
4,8,4,32,16,0,TM,64,0.9,0.28125,0.253125,79.41550000000001
4,8,8,64,16,0,TM,128,0.9,0.15625,0.140625,79.41550000000001
4,16,4,64,16,0,TM,64,0.75,0.140625,0.10546875,79.41550000000001
4,16,8,128,16,0,TM,128,0.75,0.078125,0.05859375,79.41550000000001
4,32,4,128,16,0,TM,64,0.5625,0.0703125,0.03955078125,79.41550000000001
4,32,8,256,16,0,TM,128,0.5625,0.0390625,0.02197265625,79.41550000000001
8,2,4,16,32,0,TM,64,1.0,0.5625,0.5625,39.707750000000004
8,2,8,32,32,0,TM,128,1.0,0.3125,0.3125,39.707750000000004
8,4,4,32,32,0,TM,128,1.0,0.28125,0.28125,79.41550000000001
8,4,8,64,32,0,TM,256,1.0,0.15625,0.15625,79.41550000000001
8,8,4,64,32,0,TM,128,0.9,0.140625,0.1265625,79.41550000000001
8,8,8,128,32,0,TM,256,0.9,0.078125,0.0703125,79.41550000000001
8,16,4,128,32,0,TM,128,0.75,0.0703125,0.052734375,79.41550000000001
8,16,8,256,32,0,TM,256,0.75,0.0390625,0.029296875,79.41550000000001
8,32,4,256,32,0,TM,128,0.5625,0.03515625,0.019775390625,79.41550000000001
8,32,8,512,32,0,TM,256,0.5625,0.01953125,0.010986328125,79.41550000000001
16,2,4,32,64,0,TM,128,1.0,0.28125,0.28125,39.707750000000004
16,2,8,64,64,0,TM,256,1.0,0.15625,0.15625,39.707750000000004
16,4,4,64,64,0,TM,256,1.0,0.140625,0.140625,79.41550000000001
16,8,4,128,64,0,TM,256,0.9,0.0703125,0.06328125,79.41550000000001
16,16,4,256,64,0,TM,256,0.75,0.03515625,0.0263671875,79.41550000000001
16,32,4,512,64,0,TM,256,0.5625,0.017578125,0.0098876953125,79.41550000000001
2,2,4,4,16,1,TM,16,1.0,0.75,0.75,39.707750000000004
2,2,8,8,16,1,TM,32,1.0,0.625,0.625,39.707750000000004
2,4,4,8,16,1,TM,32,1.0,0.5625,0.5625,79.41550000000001
2,4,8,16,16,1,TM,64,1.0,0.625,0.625,79.41550000000001
2,8,4,16,16,1,TM,32,0.9,0.5625,0.50625,79.41550000000001
2,8,8,32,16,1,TM,64,0.9,0.3125,0.28125,79.41550000000001
2,16,4,32,16,1,TM,32,0.75,0.28125,0.2109375,79.41550000000001
2,16,8,64,16,1,TM,64,0.75,0.15625,0.1171875,79.41550000000001
2,32,4,64,16,1,TM,32,0.5625,0.140625,0.0791015625,79.41550000000001
2,32,8,128,16,1,TM,64,0.5625,0.078125,0.0439453125,79.41550000000001
4,2,4,8,16,1,TM,32,1.0,0.5625,0.5625,39.707750000000004
4,2,8,16,16,1,TM,64,1.0,0.625,0.625,39.707750000000004
4,4,4,16,16,1,TM,64,1.0,0.5625,0.5625,79.41550000000001
4,4,8,32,16,1,TM,128,1.0,0.3125,0.3125,79.41550000000001
4,8,4,32,16,1,TM,64,0.9,0.28125,0.253125,79.41550000000001
4,8,8,64,16,1,TM,128,0.9,0.15625,0.140625,79.41550000000001
4,16,4,64,16,1,TM,64,0.75,0.140625,0.10546875,79.41550000000001
4,16,8,128,16,1,TM,128,0.75,0.078125,0.05859375,79.41550000000001
4,32,4,128,16,1,TM,64,0.5625,0.0703125,0.03955078125,79.41550000000001
4,32,8,256,16,1,TM,128,0.5625,0.0390625,0.02197265625,79.41550000000001
