C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,4,4,16,0,TM,16,1.0,0.96875,0.96875,39.50825
2,2,8,8,16,0,TM,32,1.0,0.9791666666666666,0.9791666666666666,39.50825
2,4,4,8,16,0,TM,32,1.0,0.96875,0.96875,79.0165
2,4,8,16,16,0,TM,64,1.0,0.9791666666666666,0.9791666666666666,79.0165
2,8,4,16,16,0,TM,32,0.9893617021276596,0.96875,0.9584441489361702,79.0165
2,8,8,32,16,0,TM,64,0.9893617021276596,0.9791666666666666,0.96875,79.0165
2,16,4,32,16,0,TM,32,0.96875,0.96875,0.9384765625,79.0165
2,16,8,64,16,0,TM,64,0.96875,0.734375,0.71142578125,79.0165
2,32,4,64,16,0,TM,32,0.96875,0.7265625,0.703857421875,79.0165
2,32,8,128,16,0,TM,64,0.96875,0.734375,0.71142578125,79.0165
4,2,4,8,16,0,TM,32,1.0,0.96875,0.96875,39.50825
4,2,8,16,16,0,TM,64,1.0,0.9791666666666666,0.9791666666666666,39.50825
4,4,4,16,16,0,TM,64,1.0,0.96875,0.96875,79.0165
4,4,8,32,16,0,TM,128,1.0,0.9791666666666666,0.9791666666666666,79.0165
4,8,4,32,16,0,TM,64,0.9893617021276596,0.96875,0.9584441489361702,79.0165
4,8,8,64,16,0,TM,128,0.9893617021276596,0.734375,0.7265625,79.0165
4,16,4,64,16,0,TM,64,0.96875,0.7265625,0.703857421875,79.0165
4,16,8,128,16,0,TM,128,0.96875,0.734375,0.71142578125,79.0165
4,32,4,128,16,0,TM,64,0.96875,0.7265625,0.703857421875,79.0165
4,32,8,256,16,0,TM,128,0.96875,0.3671875,0.355712890625,79.0165
8,2,4,16,32,0,TM,64,1.0,0.96875,0.96875,39.50825
8,2,8,32,32,0,TM,128,1.0,0.9791666666666666,0.9791666666666666,39.50825
8,4,4,32,32,0,TM,128,1.0,0.96875,0.96875,79.0165
8,4,8,64,32,0,TM,256,1.0,0.734375,0.734375,79.0165
8,8,4,64,32,0,TM,128,0.9893617021276596,0.7265625,0.7188331117021277,79.0165
8,8,8,128,32,0,TM,256,0.9893617021276596,0.734375,0.7265625,79.0165
8,16,4,128,32,0,TM,128,0.96875,0.7265625,0.703857421875,79.0165
8,16,8,256,32,0,TM,256,0.96875,0.3671875,0.355712890625,79.0165
8,32,4,256,32,0,TM,128,0.96875,0.36328125,0.3519287109375,79.0165
8,32,8,512,32,0,TM,256,0.96875,0.18359375,0.1778564453125,79.0165
16,2,4,32,64,0,TM,128,1.0,0.96875,0.96875,39.50825
16,2,8,64,64,0,TM,256,1.0,0.734375,0.734375,39.50825
16,4,4,64,64,0,TM,256,1.0,0.7265625,0.7265625,79.0165
16,8,4,128,64,0,TM,256,0.9893617021276596,0.7265625,0.7188331117021277,79.0165
16,16,4,256,64,0,TM,256,0.96875,0.36328125,0.3519287109375,79.0165
16,32,4,512,64,0,TM,256,0.96875,0.181640625,0.17596435546875,79.0165
2,2,4,4,16,1,TM,16,1.0,0.96875,0.96875,39.50825
2,2,8,8,16,1,TM,32,1.0,0.9791666666666666,0.9791666666666666,39.50825
2,4,4,8,16,1,TM,32,1.0,0.96875,0.96875,79.0165
2,4,8,16,16,1,TM,64,1.0,0.9791666666666666,0.9791666666666666,79.0165
2,8,4,16,16,1,TM,32,0.9893617021276596,0.96875,0.9584441489361702,79.0165
2,8,8,32,16,1,TM,64,0.9893617021276596,0.9791666666666666,0.96875,79.0165
2,16,4,32,16,1,TM,32,0.96875,0.96875,0.9384765625,79.0165
2,16,8,64,16,1,TM,64,0.96875,0.734375,0.71142578125,79.0165
2,32,4,64,16,1,TM,32,0.96875,0.7265625,0.703857421875,79.0165
2,32,8,128,16,1,TM,64,0.96875,0.734375,0.71142578125,79.0165
4,2,4,8,16,1,TM,32,1.0,0.96875,0.96875,39.50825
4,2,8,16,16,1,TM,64,1.0,0.9791666666666666,0.9791666666666666,39.50825
4,4,4,16,16,1,TM,64,1.0,0.96875,0.96875,79.0165
4,4,8,32,16,1,TM,128,1.0,0.9791666666666666,0.9791666666666666,79.0165
4,8,4,32,16,1,TM,64,0.9893617021276596,0.96875,0.9584441489361702,79.0165
4,8,8,64,16,1,TM,128,0.9893617021276596,0.734375,0.7265625,79.0165
4,16,4,64,16,1,TM,64,0.96875,0.7265625,0.703857421875,79.0165
4,16,8,128,16,1,TM,128,0.96875,0.734375,0.71142578125,79.0165
4,32,4,128,16,1,TM,64,0.96875,0.7265625,0.703857421875,79.0165
4,32,8,256,16,1,TM,128,0.96875,0.3671875,0.355712890625,79.0165
8,2,4,16,32,1,TM,64,1.0,0.96875,0.96875,39.50825
8,2,8,32,32,1,TM,128,1.0,0.9791666666666666,0.9791666666666666,39.50825
8,4,4,32,32,1,TM,128,1.0,0.96875,0.96875,79.0165
8,4,8,64,32,1,TM,256,1.0,0.734375,0.734375,79.0165
8,8,4,64,32,1,TM,128,0.9893617021276596,0.7265625,0.7188331117021277,79.0165
8,8,8,128,32,1,TM,256,0.9893617021276596,0.734375,0.7265625,79.0165
8,16,4,128,32,1,TM,128,0.96875,0.7265625,0.703857421875,79.0165
8,16,8,256,32,1,TM,256,0.96875,0.3671875,0.355712890625,79.0165
8,32,4,256,32,1,TM,128,0.96875,0.36328125,0.3519287109375,79.0165
8,32,8,512,32,1,TM,256,0.96875,0.18359375,0.1778564453125,79.0165
16,2,4,32,64,1,TM,128,1.0,0.96875,0.96875,39.50825
16,2,8,64,64,1,TM,256,1.0,0.734375,0.734375,39.50825
16,4,4,64,64,1,TM,256,1.0,0.7265625,0.7265625,79.0165
16,8,4,128,64,1,TM,256,0.9893617021276596,0.7265625,0.7188331117021277,79.0165
16,16,4,256,64,1,TM,256,0.96875,0.36328125,0.3519287109375,79.0165
16,32,4,512,64,1,TM,256,0.96875,0.181640625,0.17596435546875,79.0165
2,2,4,4,16,2,TM,16,1.0,0.96875,0.96875,39.50825
2,2,8,8,16,2,TM,32,1.0,0.9791666666666666,0.9791666666666666,39.50825
2,4,4,8,16,2,TM,32,1.0,0.96875,0.96875,79.0165
2,4,8,16,16,2,TM,64,1.0,0.9791666666666666,0.9791666666666666,79.0165
2,8,4,16,16,2,TM,32,0.9893617021276596,0.96875,0.9584441489361702,79.0165
2,8,8,32,16,2,TM,64,0.9893617021276596,0.9791666666666666,0.96875,79.0165
2,16,4,32,16,2,TM,32,0.96875,0.96875,0.9384765625,79.0165
2,16,8,64,16,2,TM,64,0.96875,0.734375,0.71142578125,79.0165
2,32,4,64,16,2,TM,32,0.96875,0.7265625,0.703857421875,79.0165
2,32,8,128,16,2,TM,64,0.96875,0.734375,0.71142578125,79.0165
4,2,4,8,16,2,TM,32,1.0,0.96875,0.96875,39.50825
4,2,8,16,16,2,TM,64,1.0,0.9791666666666666,0.9791666666666666,39.50825
4,4,4,16,16,2,TM,64,1.0,0.96875,0.96875,79.0165
4,4,8,32,16,2,TM,128,1.0,0.9791666666666666,0.9791666666666666,79.0165
4,8,4,32,16,2,TM,64,0.9893617021276596,0.96875,0.9584441489361702,79.0165
4,8,8,64,16,2,TM,128,0.9893617021276596,0.734375,0.7265625,79.0165
4,16,4,64,16,2,TM,64,0.96875,0.7265625,0.703857421875,79.0165
4,16,8,128,16,2,TM,128,0.96875,0.734375,0.71142578125,79.0165
4,32,4,128,16,2,TM,64,0.96875,0.7265625,0.703857421875,79.0165
4,32,8,256,16,2,TM,128,0.96875,0.3671875,0.355712890625,79.0165
8,2,4,16,32,2,TM,64,1.0,0.96875,0.96875,39.50825
8,2,8,32,32,2,TM,128,1.0,0.9791666666666666,0.9791666666666666,39.50825
8,4,4,32,32,2,TM,128,1.0,0.96875,0.96875,79.0165
8,4,8,64,32,2,TM,256,1.0,0.734375,0.734375,79.0165
8,8,4,64,32,2,TM,128,0.9893617021276596,0.7265625,0.7188331117021277,79.0165
8,8,8,128,32,2,TM,256,0.9893617021276596,0.734375,0.7265625,79.0165
8,16,4,128,32,2,TM,128,0.96875,0.7265625,0.703857421875,79.0165
8,16,8,256,32,2,TM,256,0.96875,0.3671875,0.355712890625,79.0165
8,32,4,256,32,2,TM,128,0.96875,0.36328125,0.3519287109375,79.0165
8,32,8,512,32,2,TM,256,0.96875,0.18359375,0.1778564453125,79.0165
16,2,4,32,64,2,TM,128,1.0,0.96875,0.96875,39.50825
16,2,8,64,64,2,TM,256,1.0,0.734375,0.734375,39.50825
16,4,4,64,64,2,TM,256,1.0,0.7265625,0.7265625,79.0165
16,8,4,128,64,2,TM,256,0.9893617021276596,0.7265625,0.7188331117021277,79.0165
