C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,2,2,16,0,CM,8,1.0,1.0,1.0,39.50825
2,2,4,4,16,0,CM,16,1.0,1.0,1.0,39.50825
2,2,8,8,16,0,CM,32,1.0,1.0,1.0,39.50825
2,2,16,16,16,0,CM,64,1.0,1.0,1.0,39.50825
2,2,32,32,16,0,CM,128,1.0,1.0,1.0,39.50825
2,4,2,4,16,0,CM,16,1.0,1.0,1.0,79.0165
2,4,4,8,16,0,CM,32,1.0,1.0,1.0,79.0165
2,4,8,16,16,0,CM,64,1.0,1.0,1.0,79.0165
2,4,16,32,16,0,CM,128,1.0,1.0,1.0,79.0165
2,4,32,64,16,0,CM,256,1.0,1.0,1.0,79.0165
2,8,2,8,16,0,CM,16,1.0,1.0,1.0,79.0165
2,8,4,16,16,0,CM,32,1.0,1.0,1.0,79.0165
2,8,8,32,16,0,CM,64,1.0,1.0,1.0,79.0165
2,8,16,64,16,0,CM,128,1.0,1.0,1.0,79.0165
2,8,32,128,16,0,CM,256,1.0,0.5,0.5,79.0165
2,16,2,16,16,0,CM,16,1.0,1.0,1.0,79.0165
2,16,4,32,16,0,CM,32,1.0,1.0,1.0,79.0165
2,16,8,64,16,0,CM,64,1.0,1.0,1.0,79.0165
2,16,16,128,16,0,CM,128,1.0,0.5,0.5,79.0165
2,16,32,256,16,0,CM,256,1.0,0.25,0.25,79.0165
2,32,2,32,16,0,CM,16,1.0,1.0,1.0,79.0165
2,32,4,64,16,0,CM,32,1.0,1.0,1.0,79.0165
2,32,8,128,16,0,CM,64,1.0,0.5,0.5,79.0165
2,32,16,256,16,0,CM,128,1.0,0.25,0.25,79.0165
2,32,32,512,16,0,CM,256,1.0,0.125,0.125,79.0165
4,2,2,4,16,0,CM,16,1.0,1.0,1.0,39.50825
4,2,4,8,16,0,CM,32,1.0,1.0,1.0,39.50825
4,2,8,16,16,0,CM,64,1.0,1.0,1.0,39.50825
4,2,16,32,16,0,CM,128,1.0,1.0,1.0,39.50825
4,2,32,64,16,0,CM,256,1.0,1.0,1.0,39.50825
4,4,2,8,16,0,CM,32,1.0,1.0,1.0,79.0165
4,4,4,16,16,0,CM,64,1.0,1.0,1.0,79.0165
4,4,8,32,16,0,CM,128,1.0,1.0,1.0,79.0165
4,4,16,64,16,0,CM,256,1.0,1.0,1.0,79.0165
4,8,2,16,16,0,CM,32,1.0,1.0,1.0,79.0165
4,8,4,32,16,0,CM,64,1.0,1.0,1.0,79.0165
4,8,8,64,16,0,CM,128,1.0,1.0,1.0,79.0165
4,8,16,128,16,0,CM,256,1.0,1.0,1.0,79.0165
4,16,2,32,16,0,CM,32,1.0,1.0,1.0,79.0165
4,16,4,64,16,0,CM,64,1.0,1.0,1.0,79.0165
4,16,8,128,16,0,CM,128,1.0,1.0,1.0,79.0165
4,16,16,256,16,0,CM,256,1.0,0.5,0.5,79.0165
4,32,2,64,16,0,CM,32,1.0,1.0,1.0,79.0165
4,32,4,128,16,0,CM,64,1.0,1.0,1.0,79.0165
4,32,8,256,16,0,CM,128,1.0,0.5,0.5,79.0165
4,32,16,512,16,0,CM,256,1.0,0.25,0.25,79.0165
8,2,2,8,32,0,CM,32,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,2,4,16,32,0,CM,64,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,2,8,32,32,0,CM,128,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,2,16,64,32,0,CM,256,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,4,2,16,32,0,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,4,4,32,32,0,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,4,8,64,32,0,CM,256,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,8,2,32,32,0,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,8,4,64,32,0,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,8,8,128,32,0,CM,256,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,16,2,64,32,0,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,16,4,128,32,0,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,16,8,256,32,0,CM,256,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,32,2,128,32,0,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,32,4,256,32,0,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,32,8,512,32,0,CM,256,1.0,0.4946808510638298,0.4946808510638298,79.0165
16,2,2,16,64,0,CM,64,1.0,0.96875,0.96875,39.50825
16,2,4,32,64,0,CM,128,1.0,0.96875,0.96875,39.50825
16,2,8,64,64,0,CM,256,1.0,0.96875,0.96875,39.50825
16,4,2,32,64,0,CM,128,1.0,0.96875,0.96875,79.0165
16,4,4,64,64,0,CM,256,1.0,0.96875,0.96875,79.0165
16,8,2,64,64,0,CM,128,1.0,0.96875,0.96875,79.0165
16,8,4,128,64,0,CM,256,1.0,0.96875,0.96875,79.0165
16,16,2,128,64,0,CM,128,1.0,0.96875,0.96875,79.0165
16,16,4,256,64,0,CM,256,1.0,0.96875,0.96875,79.0165
16,32,2,256,64,0,CM,128,1.0,0.96875,0.96875,79.0165
16,32,4,512,64,0,CM,256,1.0,0.96875,0.96875,79.0165
2,2,2,2,16,1,CM,8,1.0,1.0,1.0,39.50825
2,2,4,4,16,1,CM,16,1.0,1.0,1.0,39.50825
2,2,8,8,16,1,CM,32,1.0,1.0,1.0,39.50825
2,2,16,16,16,1,CM,64,1.0,1.0,1.0,39.50825
2,2,32,32,16,1,CM,128,1.0,1.0,1.0,39.50825
2,4,2,4,16,1,CM,16,1.0,1.0,1.0,79.0165
2,4,4,8,16,1,CM,32,1.0,1.0,1.0,79.0165
2,4,8,16,16,1,CM,64,1.0,1.0,1.0,79.0165
2,4,16,32,16,1,CM,128,1.0,1.0,1.0,79.0165
2,4,32,64,16,1,CM,256,1.0,1.0,1.0,79.0165
2,8,2,8,16,1,CM,16,1.0,1.0,1.0,79.0165
2,8,4,16,16,1,CM,32,1.0,1.0,1.0,79.0165
2,8,8,32,16,1,CM,64,1.0,1.0,1.0,79.0165
2,8,16,64,16,1,CM,128,1.0,1.0,1.0,79.0165
2,8,32,128,16,1,CM,256,1.0,0.5,0.5,79.0165
2,16,2,16,16,1,CM,16,1.0,1.0,1.0,79.0165
2,16,4,32,16,1,CM,32,1.0,1.0,1.0,79.0165
2,16,8,64,16,1,CM,64,1.0,1.0,1.0,79.0165
2,16,16,128,16,1,CM,128,1.0,0.5,0.5,79.0165
2,16,32,256,16,1,CM,256,1.0,0.25,0.25,79.0165
2,32,2,32,16,1,CM,16,1.0,1.0,1.0,79.0165
2,32,4,64,16,1,CM,32,1.0,1.0,1.0,79.0165
2,32,8,128,16,1,CM,64,1.0,0.5,0.5,79.0165
2,32,16,256,16,1,CM,128,1.0,0.25,0.25,79.0165
2,32,32,512,16,1,CM,256,1.0,0.125,0.125,79.0165
4,2,2,4,16,1,CM,16,1.0,1.0,1.0,39.50825
4,2,4,8,16,1,CM,32,1.0,1.0,1.0,39.50825
4,2,8,16,16,1,CM,64,1.0,1.0,1.0,39.50825
4,2,16,32,16,1,CM,128,1.0,1.0,1.0,39.50825
4,2,32,64,16,1,CM,256,1.0,1.0,1.0,39.50825
4,4,2,8,16,1,CM,32,1.0,1.0,1.0,79.0165
4,4,4,16,16,1,CM,64,1.0,1.0,1.0,79.0165
4,4,8,32,16,1,CM,128,1.0,1.0,1.0,79.0165
4,4,16,64,16,1,CM,256,1.0,1.0,1.0,79.0165
4,8,2,16,16,1,CM,32,1.0,1.0,1.0,79.0165
4,8,4,32,16,1,CM,64,1.0,1.0,1.0,79.0165
4,8,8,64,16,1,CM,128,1.0,1.0,1.0,79.0165
4,8,16,128,16,1,CM,256,1.0,1.0,1.0,79.0165
4,16,2,32,16,1,CM,32,1.0,1.0,1.0,79.0165
4,16,4,64,16,1,CM,64,1.0,1.0,1.0,79.0165
4,16,8,128,16,1,CM,128,1.0,1.0,1.0,79.0165
4,16,16,256,16,1,CM,256,1.0,0.5,0.5,79.0165
4,32,2,64,16,1,CM,32,1.0,1.0,1.0,79.0165
4,32,4,128,16,1,CM,64,1.0,1.0,1.0,79.0165
4,32,8,256,16,1,CM,128,1.0,0.5,0.5,79.0165
4,32,16,512,16,1,CM,256,1.0,0.25,0.25,79.0165
8,2,2,8,32,1,CM,32,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,2,4,16,32,1,CM,64,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,2,8,32,32,1,CM,128,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,2,16,64,32,1,CM,256,1.0,0.9893617021276596,0.9893617021276596,39.50825
8,4,2,16,32,1,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,4,4,32,32,1,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,4,8,64,32,1,CM,256,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,8,2,32,32,1,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,8,4,64,32,1,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,8,8,128,32,1,CM,256,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,16,2,64,32,1,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,16,4,128,32,1,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,16,8,256,32,1,CM,256,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,32,2,128,32,1,CM,64,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,32,4,256,32,1,CM,128,1.0,0.9893617021276596,0.9893617021276596,79.0165
8,32,8,512,32,1,CM,256,1.0,0.4946808510638298,0.4946808510638298,79.0165
16,2,2,16,64,1,CM,64,1.0,0.96875,0.96875,39.50825
16,2,4,32,64,1,CM,128,1.0,0.96875,0.96875,39.50825
16,2,8,64,64,1,CM,256,1.0,0.96875,0.96875,39.50825
16,4,2,32,64,1,CM,128,1.0,0.96875,0.96875,79.0165
16,4,4,64,64,1,CM,256,1.0,0.96875,0.96875,79.0165
16,8,2,64,64,1,CM,128,1.0,0.96875,0.96875,79.0165
16,8,4,128,64,1,CM,256,1.0,0.96875,0.96875,79.0165
16,16,2,128,64,1,CM,128,1.0,0.96875,0.96875,79.0165
16,16,4,256,64,1,CM,256,1.0,0.96875,0.96875,79.0165
16,32,2,256,64,1,CM,128,1.0,0.96875,0.96875,79.0165
16,32,4,512,64,1,CM,256,1.0,0.96875,0.96875,79.0165
2,2,2,2,16,2,CM,8,1.0,1.0,1.0,39.50825
2,2,4,4,16,2,CM,16,1.0,1.0,1.0,39.50825
2,2,8,8,16,2,CM,32,1.0,1.0,1.0,39.50825
2,2,16,16,16,2,CM,64,1.0,1.0,1.0,39.50825
2,2,32,32,16,2,CM,128,1.0,1.0,1.0,39.50825
2,4,2,4,16,2,CM,16,1.0,1.0,1.0,79.0165
2,4,4,8,16,2,CM,32,1.0,1.0,1.0,79.0165
2,4,8,16,16,2,CM,64,1.0,1.0,1.0,79.0165
